country_id,country_description,weight
7100,Southern Asia,1
7101,Bangladesh,1
7102,Bhutan,1
7103,India,1
7104,Maldives,1
7105,Nepal,1
7106,Pakistan,1
7107,Sri Lanka,1
7200,Central Asia,1
7201,Afghanistan,1
7202,Armenia,1
7203,Azerbaijan,1
7204,Georgia,1
7205,Kazakhstan,1
7206,Kyrgyzstan,1
7207,Tajikistan,1
7208,Turkmenistan,1
7211,Uzbekistan,1
8000,Americas,1
8100,Northern America,1
8101,Bermuda,1
8102,Canada,1
8103,St Pierre and Miquelon,1
8104,United States of America,1
8200,South America,1
8201,Argentina,1
8202,Bolivia,1
8203,Brazil,1
8204,Chile,1
8205,Colombia,1
8206,Ecuador,1
8207,Falkland Islands,1
8208,French Guiana,1
8211,Guyana,1
8212,Paraguay,1
8213,Peru,1
8214,Suriname,1
8215,Uruguay,1
8216,Venezuela,1
8299,"South America, nec",1
8300,Central America,1
8301,Belize,1
8302,Costa Rica,1
8303,El Salvador,1
8304,Guatemala,1
8305,Honduras,1
8306,Mexico,1
8307,Nicaragua,1
8308,Panama,1
8400,Caribbean,1
8401,Anguilla,1
8402,Antigua and Barbuda,1
8403,Aruba,1
8404,Bahamas,1
8405,Barbados,1
8406,Cayman Islands,1
8407,Cuba,1
8408,Dominica,1
8411,Dominican Republic,1
8412,Grenada,1
8413,Guadeloupe,1
8414,Haiti,1
8415,Jamaica,1
8416,Martinique,1
8417,Montserrat,1
8418,Netherlands Antilles,1
8421,Puerto Rico,1
8422,St Kitts and Nevis,1
8423,St Lucia,1
8424,St Vincent and the Grenadines,1
8425,Trinidad and Tobago,1
8426,Turks and Caicos Islands,1
8427,"Virgin Islands, British",1
8428,"Virgin Islands, United States",1
8431,St Barthelemy,1
8432,St Martin (French part),1
9000,Sub-Saharan Africa,1
9100,Central and West Africa,1
9101,Benin,1
9102,Burkina Faso,1
9103,Cameroon,1
9104,Cape Verde,1
9105,Central African Republic,1
9106,Chad,1
9107,Congo,1
9108,"Congo, Democratic Republic of",1
9111,Côte d'Ivoire,1
9112,Equatorial Guinea,1
9113,Gabon,1
9114,Gambia,1
9115,Ghana,1
9116,Guinea,1
9117,Guinea-Bissau,1
9118,Liberia,1
9121,Mali,1
9122,Mauritania,1
9123,Niger,1
9124,Nigeria,1
9125,Sao Tomé and Principe,1
9126,Senegal,1
9127,Sierra Leone,1
9128,Togo,1
9200,Southern and East Africa,1
9201,Angola,1
9202,Botswana,1
9203,Burundi,1
9204,Comoros,1
9205,Djibouti,1
9206,Eritrea,1
9207,Ethiopia,1
9208,Kenya,1
9211,Lesotho,1
9212,Madagascar,1
9213,Malawi,1
9214,Mauritius,1
9215,Mayotte,1
9216,Mozambique,1
9217,Namibia,1
9218,Réunion,1
9221,Rwanda,1
9222,St Helena,1
9223,Seychelles,1
9224,Somalia,1
9225,South Africa,1
9226,Swaziland,1
9227,Tanzania,1
9228,Uganda,1
9231,Zambia,1
9232,Zimbabwe,1
9299,"Southern and East Africa, nec",1
